outcome_variable,risk_factors,percentage_increase_in_MSE,reorder_var
Pulmonary Embolism,Age group,25.755340773302358,49.12820574656203
Pulmonary Embolism,Deep vein thrombosis dvt in prior year,11.387184504778261,49.12820574656203
Pulmonary Embolism,Obesity in prior year,4.298887499666484,49.12820574656203
Pulmonary Embolism,Antibiotics carbapenems in prior year,3.230621470213286,49.12820574656203
Pulmonary Embolism,Occurrence of asthma in prior year,2.4385672682559334,49.12820574656203
Pulmonary Embolism,Antibiotics aminoglycosides in prior year,2.1290306337751836,49.12820574656203
Pulmonary Embolism,Hyperlipidemia in prior year,1.8285663333699373,49.12820574656203
Pulmonary Embolism,Heart failure in prior year,1.4263794068431517,49.12820574656203
Pulmonary Embolism,Hypothyroidism in prior year,1.4148300289964602,49.12820574656203
Pulmonary Embolism,Antiepileptics in prior year,1.3853498195383018,49.12820574656203
Pulmonary Embolism,Edema in prior year,1.2251643255337097,49.12820574656203
Pulmonary Embolism,Occurrence of alcoholism in prior year,1.1827007182687332,49.12820574656203
Pulmonary Embolism,Hypertension in prior year,1.1095705358532268,49.12820574656203
Pulmonary Embolism,Sleep apnea in prior year,1.1046008937765337,49.12820574656203
Pulmonary Embolism,Opioids in prior year,1.0821187208913128,49.12820574656203
Pulmonary Embolism,Acute gastrointestinal gi bleeding in prior year,1.0708171788220493,49.12820574656203
Pulmonary Embolism,Occurrence of anxiety in prior year,0.9418306981893018,49.12820574656203
Pulmonary Embolism,Low back pain in prior year,0.9408419305141599,49.12820574656203
Pulmonary Embolism,Antibiotics fluoroquinolones in prior year,0.908442524924296,49.12820574656203
Pulmonary Embolism,Skin ulcer in prior year,0.8587146349831593,49.12820574656203
Pulmonary Embolism,Hormonal contraceptives in prior year,0.8493321715206712,49.12820574656203
Pulmonary Embolism,Pneumonia in prior year,0.7203313543203501,49.12820574656203
Pulmonary Embolism,Psychotic disorder in prior year,0.7194373226250028,49.12820574656203
Pulmonary Embolism,Occurrence of neuropathy in prior year,0.700005042910996,49.12820574656203
Pulmonary Embolism,Chronic hepatitis in prior year,0.6678105866961612,49.12820574656203
Pulmonary Embolism,Antibiotics glycopeptides and lipoglycopeptides in prior year,0.5913517357572735,49.12820574656203
Pulmonary Embolism,Coronary artery disease cad in prior year,0.5766278488783302,49.12820574656203
Pulmonary Embolism,Chronic obstructive pulmonary disease copd in prior year,0.5641743515443317,49.12820574656203
Pulmonary Embolism,Steroids in prior year,0.4424742738439457,49.12820574656203
Pulmonary Embolism,Any cancer excl prostate cancer and benign cancer in prior year,0.4381876001304028,49.12820574656203
Pulmonary Embolism,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,0.37242875599034886,49.12820574656203
Pulmonary Embolism,Antibiotics cephalosporins in prior year,0.3072997094648124,49.12820574656203
Pulmonary Embolism,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,0.29975652572657485,49.12820574656203
Pulmonary Embolism,Antibiotics streptogramins in prior year,0.1058673919272811,49.12820574656203
Pulmonary Embolism,Antibiotics tetracyclines in prior year,0.08632580056257962,49.12820574656203
Sudden Hearing Loss,Age group,37.37687334758663,42.15976086019665
Sudden Hearing Loss,Occurrence of alcoholism in prior year,3.136133167892626,42.15976086019665
Sudden Hearing Loss,Hyperlipidemia in prior year,2.548795581985147,42.15976086019665
Sudden Hearing Loss,Pneumonia in prior year,2.466196671365894,42.15976086019665
Sudden Hearing Loss,Steroids in prior year,2.2232881435790333,42.15976086019665
Sudden Hearing Loss,Occurrence of anxiety in prior year,2.019020944213547,42.15976086019665
Sudden Hearing Loss,Psychotic disorder in prior year,1.9758698120336775,42.15976086019665
Sudden Hearing Loss,Antibiotics polypeptides in prior year,1.8723678904891525,42.15976086019665
Sudden Hearing Loss,Osteoporosis in prior year,1.7737007296257998,42.15976086019665
Sudden Hearing Loss,Hypothyroidism in prior year,1.522124121063111,42.15976086019665
Sudden Hearing Loss,Peripheral vascular disease in prior year,1.4885619970186863,42.15976086019665
Sudden Hearing Loss,Low back pain in prior year,1.2736549014255611,42.15976086019665
Sudden Hearing Loss,Atrial fibrillation incident in prior year,1.2329387997004801,42.15976086019665
Sudden Hearing Loss,Antibiotics fluoroquinolones in prior year,1.2021258304376556,42.15976086019665
Sudden Hearing Loss,Occurrence of asthma in prior year,1.0402479411308525,42.15976086019665
Sudden Hearing Loss,Seizure in prior year,1.037022680760009,42.15976086019665
Sudden Hearing Loss,Hormonal contraceptives in prior year,0.9408649512168682,42.15976086019665
Sudden Hearing Loss,Sepsis in prior year,0.9077002279385216,42.15976086019665
Sudden Hearing Loss,Chronic kidney disease or end stage renal disease in prior year,0.7231296686156116,42.15976086019665
Sudden Hearing Loss,Antibiotics penicillins in prior year,0.7061909109409008,42.15976086019665
Sudden Hearing Loss,Antibiotics rifamycins in prior year,0.6965906375295153,42.15976086019665
Sudden Hearing Loss,Smoking in prior year,0.6359751955330073,42.15976086019665
Sudden Hearing Loss,Hemorrhagic stroke in an inpatient setting in prior year,0.4996165945197344,42.15976086019665
Sudden Hearing Loss,Heart valve disorder in prior year,0.4820695257691326,42.15976086019665
Sudden Hearing Loss,Heart failure in prior year,0.4102674420988936,42.15976086019665
Sudden Hearing Loss,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,0.40073387430639923,42.15976086019665
Sudden Hearing Loss,Acute kidney injury aki in prior year,0.35982132954337215,42.15976086019665
Sudden Hearing Loss,Chronic obstructive pulmonary disease copd in prior year,0.3535417890672934,42.15976086019665
Sudden Hearing Loss,Rheumatoid arthritis in prior year,0.3158751905490337,42.15976086019665
Sudden Hearing Loss,Angina events in prior year,0.29603035709050585,42.15976086019665
Sudden Hearing Loss,Antibiotics cephalosporins in prior year,0.24157268626826836,42.15976086019665
Sudden Hearing Loss,Occurrence of neuropathy in prior year,0.2354224506655076,42.15976086019665
Sudden Hearing Loss,Antibiotics carbapenems in prior year,0.202986464836394,42.15976086019665
Sudden Hearing Loss,Dyspnea in prior year,0.20004901975665282,42.15976086019665
Sudden Hearing Loss,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,0.04561861318445463,42.15976086019665
Sudden Hearing Loss,Any cancer excl prostate cancer and benign cancer in prior year,0.04148699353366341,42.15976086019665
Restless Leg Syndrome,Age group,28.969859783071698,58.93579702043706
Restless Leg Syndrome,Antiepileptics in prior year,8.219052157818668,58.93579702043706
Restless Leg Syndrome,Gender,5.522820434604103,58.93579702043706
Restless Leg Syndrome,Hemorrhagic stroke in an inpatient setting in prior year,4.536930086477691,58.93579702043706
Restless Leg Syndrome,Occurrence of anxiety in prior year,4.140623489108367,58.93579702043706
Restless Leg Syndrome,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,3.8556488188268068,58.93579702043706
Restless Leg Syndrome,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,3.407859533959507,58.93579702043706
Restless Leg Syndrome,Antibiotics tetracyclines in prior year,3.082582094129631,58.93579702043706
Restless Leg Syndrome,Sleep apnea in prior year,2.8759115484557163,58.93579702043706
Restless Leg Syndrome,Acetaminophen exposures in prior year,2.410212054773942,58.93579702043706
Restless Leg Syndrome,Antibiotics carbapenems in prior year,2.3900369548076696,58.93579702043706
Restless Leg Syndrome,Chronic obstructive pulmonary disease copd in prior year,2.350424237929242,58.93579702043706
Restless Leg Syndrome,Deep vein thrombosis dvt in prior year,1.8520019379673323,58.93579702043706
Restless Leg Syndrome,Urinary tract infectious disease in prior year,1.7969059280428303,58.93579702043706
Restless Leg Syndrome,Acute respiratory failure in prior year,1.6540484804597906,58.93579702043706
Restless Leg Syndrome,Hypothyroidism in prior year,1.6168982836525247,58.93579702043706
Restless Leg Syndrome,Antibiotics rifamycins in prior year,1.598582980885918,58.93579702043706
Restless Leg Syndrome,Occurrence of neuropathy in prior year,1.4431398371396635,58.93579702043706
Restless Leg Syndrome,Antibiotics sulfonamides in prior year,1.3275170154948297,58.93579702043706
Restless Leg Syndrome,Low back pain in prior year,1.0860784604516276,58.93579702043706
Restless Leg Syndrome,Antibiotics cephalosporins in prior year,0.8790017938674561,58.93579702043706
Restless Leg Syndrome,Peripheral vascular disease in prior year,0.8414638787063672,58.93579702043706
Restless Leg Syndrome,Opioids in prior year,0.7014333554864655,58.93579702043706
Restless Leg Syndrome,Angina events in prior year,0.5585416118341862,58.93579702043706
Restless Leg Syndrome,Heart valve disorder in prior year,0.515202199667993,58.93579702043706
Restless Leg Syndrome,Atrial fibrillation incident in prior year,0.3796848726626966,58.93579702043706
Restless Leg Syndrome,Hormonal contraceptives in prior year,0.3449775937727045,58.93579702043706
Restless Leg Syndrome,Chronic hepatitis in prior year,0.2327176604591761,58.93579702043706
Restless Leg Syndrome,Type 1 diabetes and no prior specific non t 1 dm diabetes in prior year,0.18782877105018606,58.93579702043706
Restless Leg Syndrome,Obesity in prior year,0.18103311117892168,58.93579702043706
Restless Leg Syndrome,Seizure in prior year,0.1653924596652613,58.93579702043706
Restless Leg Syndrome,Antibiotics macrolides in prior year,0.11632492675195827,58.93579702043706
Restless Leg Syndrome,Antibiotics monobactams in prior year,0.09880343635281967,58.93579702043706
Sudden Vision Loss,Age group,23.475135135009744,52.38187948923957
Sudden Vision Loss,Opioids in prior year,4.985015641489344,52.38187948923957
Sudden Vision Loss,Hypertension in prior year,4.757117544633907,52.38187948923957
Sudden Vision Loss,Osteoarthritis in prior year,3.5703260881044527,52.38187948923957
Sudden Vision Loss,Deep vein thrombosis dvt in prior year,3.2551271093761946,52.38187948923957
Sudden Vision Loss,Heart valve disorder in prior year,3.1048316390866924,52.38187948923957
Sudden Vision Loss,Peripheral vascular disease in prior year,3.102735498886292,52.38187948923957
Sudden Vision Loss,Coronary artery disease cad in prior year,2.665739484034227,52.38187948923957
Sudden Vision Loss,Occurrence of alcoholism in prior year,2.378503727406016,52.38187948923957
Sudden Vision Loss,Chronic obstructive pulmonary disease copd in prior year,2.1412386589900736,52.38187948923957
Sudden Vision Loss,Antibiotics tetracyclines in prior year,2.016145691357477,52.38187948923957
Sudden Vision Loss,Antibiotics aminoglycosides in prior year,1.9676047452943162,52.38187948923957
Sudden Vision Loss,Antibiotics sulfonamides in prior year,1.9559629315033296,52.38187948923957
Sudden Vision Loss,Hyperlipidemia in prior year,1.6178337021496634,52.38187948923957
Sudden Vision Loss,Osteoporosis in prior year,1.6011345821213157,52.38187948923957
Sudden Vision Loss,Occurrence of asthma in prior year,1.5913345443079354,52.38187948923957
Sudden Vision Loss,Heart failure in prior year,1.5820030432047794,52.38187948923957
Sudden Vision Loss,Antibiotics macrolides in prior year,1.282423731992954,52.38187948923957
Sudden Vision Loss,Hormonal contraceptives in prior year,1.1609555715094133,52.38187948923957
Sudden Vision Loss,Angina events in prior year,0.8797226519619971,52.38187948923957
Sudden Vision Loss,Psychotic disorder in prior year,0.8328609574273522,52.38187948923957
Sudden Vision Loss,Atrial fibrillation incident in prior year,0.8135747780164566,52.38187948923957
Sudden Vision Loss,Antibiotics cephalosporins in prior year,0.7762659165157795,52.38187948923957
Sudden Vision Loss,Pneumonia in prior year,0.7662793700581245,52.38187948923957
Sudden Vision Loss,Acute gastrointestinal gi bleeding in prior year,0.7129902250333101,52.38187948923957
Sudden Vision Loss,Edema in prior year,0.6418933021577694,52.38187948923957
Sudden Vision Loss,Low back pain in prior year,0.5511554265207718,52.38187948923957
Sudden Vision Loss,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,0.5355413402956686,52.38187948923957
Sudden Vision Loss,Antibiotics streptogramins in prior year,0.2979569566176548,52.38187948923957
Sudden Vision Loss,Acetaminophen exposures in prior year,0.291133536476709,52.38187948923957
Sudden Vision Loss,Gender,0.2555432942573905,52.38187948923957
Sudden Vision Loss,Rheumatoid arthritis in prior year,0.11645141250039574,52.38187948923957
Sudden Vision Loss,Non hemorrhagic stroke in an inpatient setting in prior year,0.08010470746945586,52.38187948923957
Sudden Vision Loss,Hemorrhagic stroke in an inpatient setting in prior year,0.02107731643919298,52.38187948923957
Muscle Weakness or Injury,Age group,23.570736176273748,25.03023463494151
Muscle Weakness or Injury,Sleep apnea in prior year,3.3225125611643853,25.03023463494151
Muscle Weakness or Injury,Non hemorrhagic stroke in an inpatient setting in prior year,2.6663056299990195,25.03023463494151
Muscle Weakness or Injury,Occurrence of neuropathy in prior year,2.389183450943474,25.03023463494151
Muscle Weakness or Injury,Skin ulcer in prior year,2.1915496163104433,25.03023463494151
Muscle Weakness or Injury,Obesity in prior year,2.0944846325911026,25.03023463494151
Muscle Weakness or Injury,Smoking in prior year,1.9249182087470866,25.03023463494151
Muscle Weakness or Injury,Anemia in prior year,1.7289533109371709,25.03023463494151
Muscle Weakness or Injury,Antibiotics aminoglycosides in prior year,1.4795048513797566,25.03023463494151
Muscle Weakness or Injury,Rheumatoid arthritis in prior year,1.4537920525848362,25.03023463494151
Muscle Weakness or Injury,Antibiotics rifamycins in prior year,1.3159928169513115,25.03023463494151
Muscle Weakness or Injury,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,1.2975216875828017,25.03023463494151
Muscle Weakness or Injury,Antiepileptics in prior year,1.2723059668230206,25.03023463494151
Muscle Weakness or Injury,Antibiotics sulfonamides in prior year,1.2205580524967397,25.03023463494151
Muscle Weakness or Injury,Chronic obstructive pulmonary disease copd in prior year,1.1986506570858768,25.03023463494151
Muscle Weakness or Injury,Edema in prior year,1.1787064946904122,25.03023463494151
Muscle Weakness or Injury,Occurrence of alcoholism in prior year,1.1596706629388298,25.03023463494151
Muscle Weakness or Injury,Hypothyroidism in prior year,1.1442096287386494,25.03023463494151
Muscle Weakness or Injury,Steroids in prior year,1.066166568680765,25.03023463494151
Muscle Weakness or Injury,Acute kidney injury aki in prior year,0.9750764798880638,25.03023463494151
Muscle Weakness or Injury,Hemorrhagic stroke in an inpatient setting in prior year,0.9661210401991919,25.03023463494151
Muscle Weakness or Injury,Coronary artery disease cad in prior year,0.9045464994898268,25.03023463494151
Muscle Weakness or Injury,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,0.8260783830619269,25.03023463494151
Muscle Weakness or Injury,Pneumonia in prior year,0.821157129377244,25.03023463494151
Muscle Weakness or Injury,Opioids in prior year,0.7298978664447345,25.03023463494151
Muscle Weakness or Injury,Occurrence of asthma in prior year,0.7117729756868884,25.03023463494151
Muscle Weakness or Injury,Antibiotics tetracyclines in prior year,0.6052082982992463,25.03023463494151
Muscle Weakness or Injury,Osteoarthritis in prior year,0.6009930472136569,25.03023463494151
Muscle Weakness or Injury,Psychotic disorder in prior year,0.48116359819648075,25.03023463494151
Muscle Weakness or Injury,Osteoporosis in prior year,0.4273527150893429,25.03023463494151
Muscle Weakness or Injury,Hyperlipidemia in prior year,0.4213805733658048,25.03023463494151
Muscle Weakness or Injury,Seizure in prior year,0.2864233540980131,25.03023463494151
Muscle Weakness or Injury,Hormonal contraceptives in prior year,0.28211422111777074,25.03023463494151
Muscle Weakness or Injury,Antibiotics fluoroquinolones in prior year,0.06996705658000414,25.03023463494151
Ankylosing Spondylitis,Rheumatoid arthritis in prior year,11.17368000027829,20.799262359647255
Ankylosing Spondylitis,Chronic kidney disease or end stage renal disease in prior year,3.1043599179873227,20.799262359647255
Ankylosing Spondylitis,Steroids in prior year,2.988822265607772,20.799262359647255
Ankylosing Spondylitis,Any cancer excl prostate cancer and benign cancer in prior year,2.6662223361337696,20.799262359647255
Ankylosing Spondylitis,Age group,2.2811720816955106,20.799262359647255
Ankylosing Spondylitis,Aspirin exposures in prior year,2.1123059267375397,20.799262359647255
Ankylosing Spondylitis,Chronic obstructive pulmonary disease copd in prior year,1.9083868416477108,20.799262359647255
Ankylosing Spondylitis,Antibiotics oxazolidinones in prior year,1.81590998322487,20.799262359647255
Ankylosing Spondylitis,Occurrence of neuropathy in prior year,1.764085802598992,20.799262359647255
Ankylosing Spondylitis,Atrial fibrillation incident in prior year,1.7233658183998997,20.799262359647255
Ankylosing Spondylitis,Antibiotics sulfonamides in prior year,1.7136109929138235,20.799262359647255
Ankylosing Spondylitis,Antibiotics polypeptides in prior year,1.515404092839114,20.799262359647255
Ankylosing Spondylitis,Hemorrhagic stroke in an inpatient setting in prior year,1.457559802064234,20.799262359647255
Ankylosing Spondylitis,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,1.3577051312185588,20.799262359647255
Ankylosing Spondylitis,Antibiotics carbapenems in prior year,1.3559142069422865,20.799262359647255
Ankylosing Spondylitis,Occurrence of anxiety in prior year,1.3161313975090643,20.799262359647255
Ankylosing Spondylitis,Deep vein thrombosis dvt in prior year,1.1245133723019456,20.799262359647255
Ankylosing Spondylitis,Occurrence of alcoholism in prior year,1.0911556714636028,20.799262359647255
Ankylosing Spondylitis,Osteoarthritis in prior year,1.038576105058104,20.799262359647255
Ankylosing Spondylitis,Acute gastrointestinal gi bleeding in prior year,0.9176815001367823,20.799262359647255
Ankylosing Spondylitis,Hypothyroidism in prior year,0.8386658561842805,20.799262359647255
Ankylosing Spondylitis,Antibiotics penicillins in prior year,0.8246244029362817,20.799262359647255
Ankylosing Spondylitis,Pneumonia in prior year,0.8124653709470554,20.799262359647255
Ankylosing Spondylitis,Antibiotics monobactams in prior year,0.7930150175828138,20.799262359647255
Ankylosing Spondylitis,Hyperlipidemia in prior year,0.7786826059376534,20.799262359647255
Ankylosing Spondylitis,Heart valve disorder in prior year,0.755445541253903,20.799262359647255
Ankylosing Spondylitis,Antibiotics rifamycins in prior year,0.7500112224424446,20.799262359647255
Ankylosing Spondylitis,Antibiotics aminoglycosides in prior year,0.7405883640413375,20.799262359647255
Ankylosing Spondylitis,Acute respiratory failure in prior year,0.6551427260434092,20.799262359647255
Ankylosing Spondylitis,Urinary tract infectious disease in prior year,0.647554629872835,20.799262359647255
Ankylosing Spondylitis,Inflammatory bowel disease in prior year,0.5174952069081913,20.799262359647255
Ankylosing Spondylitis,Opioids in prior year,0.48932107144682807,20.799262359647255
Ankylosing Spondylitis,Type 1 diabetes and no prior specific non t 1 dm diabetes in prior year,0.3810526292871735,20.799262359647255
Ankylosing Spondylitis,Angina events in prior year,0.2876687282995089,20.799262359647255
Ankylosing Spondylitis,Seizure in prior year,0.2741595229270863,20.799262359647255
Ankylosing Spondylitis,Hypertension in prior year,0.09946069657044439,20.799262359647255
Ankylosing Spondylitis,Occurrence of asthma in prior year,0.09665034210347527,20.799262359647255
Autoimmune Hepatitis,Chronic hepatitis in prior year,18.004859341791036,16.992045548954703
Autoimmune Hepatitis,Occurrence of neuropathy in prior year,3.455210475170197,16.992045548954703
Autoimmune Hepatitis,Gender,3.3547315321446702,16.992045548954703
Autoimmune Hepatitis,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,3.0549304072667707,16.992045548954703
Autoimmune Hepatitis,Occurrence of alcoholism in prior year,2.48312618073339,16.992045548954703
Autoimmune Hepatitis,Antibiotics carbapenems in prior year,2.4647083109743795,16.992045548954703
Autoimmune Hepatitis,Peripheral vascular disease in prior year,2.3538681656981333,16.992045548954703
Autoimmune Hepatitis,Pneumonia in prior year,2.318961773281267,16.992045548954703
