outcome_variable,Age group,Deep vein thrombosis dvt in prior year,Obesity in prior year,Antibiotics carbapenems in prior year,Occurrence of asthma in prior year,Antibiotics aminoglycosides in prior year,Hyperlipidemia in prior year,Heart failure in prior year,Hypothyroidism in prior year,Antiepileptics in prior year,Edema in prior year,Occurrence of alcoholism in prior year,Hypertension in prior year,Sleep apnea in prior year,Opioids in prior year,Acute gastrointestinal gi bleeding in prior year,Occurrence of anxiety in prior year,Low back pain in prior year,Antibiotics fluoroquinolones in prior year,Skin ulcer in prior year,Hormonal contraceptives in prior year,Pneumonia in prior year,Psychotic disorder in prior year,Occurrence of neuropathy in prior year,Chronic hepatitis in prior year,Antibiotics glycopeptides and lipoglycopeptides in prior year,Coronary artery disease cad in prior year,Chronic obstructive pulmonary disease copd in prior year,Steroids in prior year,Any cancer excl prostate cancer and benign cancer in prior year,Major depressive disorder with no occurrence of certain psychiatric disorder in prior year,Antibiotics cephalosporins in prior year,Type 2 diabetes mellitus dm with no type 1 or secondary dm in prior year,Antibiotics streptogramins in prior year,Antibiotics tetracyclines in prior year,Antibiotics polypeptides in prior year,Osteoporosis in prior year,Peripheral vascular disease in prior year,Atrial fibrillation incident in prior year,Seizure in prior year,Sepsis in prior year,Chronic kidney disease or end stage renal disease in prior year,Antibiotics penicillins in prior year,Antibiotics rifamycins in prior year,Smoking in prior year,Hemorrhagic stroke in an inpatient setting in prior year,Heart valve disorder in prior year,Acute kidney injury aki in prior year,Rheumatoid arthritis in prior year,Angina events in prior year,Dyspnea in prior year,Gender,Acetaminophen exposures in prior year,Urinary tract infectious disease in prior year,Acute respiratory failure in prior year,Antibiotics sulfonamides in prior year,Type 1 diabetes and no prior specific non t 1 dm diabetes in prior year,Antibiotics macrolides in prior year,Antibiotics monobactams in prior year,Osteoarthritis in prior year,Non hemorrhagic stroke in an inpatient setting in prior year,Anemia in prior year,Aspirin exposures in prior year,Antibiotics oxazolidinones in prior year,Inflammatory bowel disease in prior year,Gastroesophageal reflux disease in prior year
Pulmonary Embolism,25.755340773302358,11.387184504778261,4.298887499666484,3.230621470213286,2.4385672682559334,2.1290306337751836,1.8285663333699373,1.4263794068431517,1.4148300289964602,1.3853498195383018,1.2251643255337097,1.1827007182687332,1.1095705358532268,1.1046008937765337,1.0821187208913128,1.0708171788220493,0.9418306981893018,0.9408419305141599,0.908442524924296,0.8587146349831593,0.8493321715206712,0.7203313543203501,0.7194373226250028,0.700005042910996,0.6678105866961612,0.5913517357572735,0.5766278488783302,0.5641743515443317,0.4424742738439457,0.4381876001304028,0.37242875599034886,0.3072997094648124,0.29975652572657485,0.1058673919272811,0.08632580056257962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudden Hearing Loss,37.37687334758663,NA,NA,0.202986464836394,1.0402479411308525,NA,2.548795581985147,0.4102674420988936,1.522124121063111,NA,NA,3.136133167892626,NA,NA,NA,NA,2.019020944213547,1.2736549014255611,1.2021258304376556,NA,0.9408649512168682,2.466196671365894,1.9758698120336775,0.2354224506655076,NA,NA,NA,0.3535417890672934,2.2232881435790333,0.04148699353366341,0.40073387430639923,0.24157268626826836,0.04561861318445463,NA,NA,1.8723678904891525,1.7737007296257998,1.4885619970186863,1.2329387997004801,1.037022680760009,0.9077002279385216,0.7231296686156116,0.7061909109409008,0.6965906375295153,0.6359751955330073,0.4996165945197344,0.4820695257691326,0.35982132954337215,0.3158751905490337,0.29603035709050585,0.20004901975665282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Restless Leg Syndrome,28.969859783071698,1.8520019379673323,0.18103311117892168,2.3900369548076696,NA,NA,NA,NA,1.6168982836525247,8.219052157818668,NA,NA,NA,2.8759115484557163,0.7014333554864655,NA,4.140623489108367,1.0860784604516276,NA,NA,0.3449775937727045,NA,NA,1.4431398371396635,0.2327176604591761,NA,NA,2.350424237929242,NA,NA,3.407859533959507,0.8790017938674561,3.8556488188268068,NA,3.082582094129631,NA,NA,0.8414638787063672,0.3796848726626966,0.1653924596652613,NA,NA,NA,1.598582980885918,NA,4.536930086477691,0.515202199667993,NA,NA,0.5585416118341862,NA,5.522820434604103,2.410212054773942,1.7969059280428303,1.6540484804597906,1.3275170154948297,0.18782877105018606,0.11632492675195827,0.09880343635281967,NA,NA,NA,NA,NA,NA,NA
Sudden Vision Loss,23.475135135009744,3.2551271093761946,NA,NA,1.5913345443079354,1.9676047452943162,1.6178337021496634,1.5820030432047794,NA,NA,0.6418933021577694,2.378503727406016,4.757117544633907,NA,4.985015641489344,0.7129902250333101,NA,0.5511554265207718,NA,NA,1.1609555715094133,0.7662793700581245,0.8328609574273522,NA,NA,NA,2.665739484034227,2.1412386589900736,NA,NA,0.5355413402956686,0.7762659165157795,NA,0.2979569566176548,2.016145691357477,NA,1.6011345821213157,3.102735498886292,0.8135747780164566,NA,NA,NA,NA,NA,NA,0.02107731643919298,3.1048316390866924,NA,0.11645141250039574,0.8797226519619971,NA,0.2555432942573905,0.291133536476709,NA,NA,1.9559629315033296,NA,1.282423731992954,NA,3.5703260881044527,0.08010470746945586,NA,NA,NA,NA,NA
Muscle Weakness or Injury,23.570736176273748,NA,2.0944846325911026,NA,0.7117729756868884,1.4795048513797566,0.4213805733658048,NA,1.1442096287386494,1.2723059668230206,1.1787064946904122,1.1596706629388298,NA,3.3225125611643853,0.7298978664447345,NA,NA,NA,0.06996705658000414,2.1915496163104433,0.28211422111777074,0.821157129377244,0.48116359819648075,2.389183450943474,NA,NA,0.9045464994898268,1.1986506570858768,1.066166568680765,NA,1.2975216875828017,NA,0.8260783830619269,NA,0.6052082982992463,NA,0.4273527150893429,NA,NA,0.2864233540980131,NA,NA,NA,1.3159928169513115,1.9249182087470866,0.9661210401991919,NA,0.9750764798880638,1.4537920525848362,NA,NA,NA,NA,NA,NA,1.2205580524967397,NA,NA,NA,0.6009930472136569,2.6663056299990195,1.7289533109371709,NA,NA,NA,NA
Ankylosing Spondylitis,2.2811720816955106,1.1245133723019456,NA,1.3559142069422865,0.09665034210347527,0.7405883640413375,0.7786826059376534,NA,0.8386658561842805,NA,NA,1.0911556714636028,0.09946069657044439,NA,0.48932107144682807,0.9176815001367823,1.3161313975090643,NA,NA,NA,NA,0.8124653709470554,NA,1.764085802598992,NA,NA,NA,1.9083868416477108,2.988822265607772,2.6662223361337696,1.3577051312185588,NA,NA,NA,NA,1.515404092839114,NA,NA,1.7233658183998997,0.2741595229270863,NA,3.1043599179873227,0.8246244029362817,0.7500112224424446,NA,1.457559802064234,0.755445541253903,NA,11.17368000027829,0.2876687282995089,NA,NA,NA,0.647554629872835,0.6551427260434092,1.7136109929138235,0.3810526292871735,NA,0.7930150175828138,1.038576105058104,NA,NA,2.1123059267375397,1.81590998322487,0.5174952069081913,NA
Autoimmune Hepatitis,1.636887079027316,0.5639919604471468,NA,2.4647083109743795,NA,NA,NA,0.2932338374432109,1.680561675130063,NA,NA,2.48312618073339,NA,0.12371228271050522,NA,1.6225871687762239,NA,0.18706238596248337,NA,2.075120000059674,0.47278539271737363,2.318961773281267,1.294953540539888,3.455210475170197,18.004859341791036,NA,NA,NA,NA,NA,NA,NA,3.0549304072667707,2.128400818405968,NA,NA,0.5567476979219298,2.3538681656981333,NA,NA,0.12990624011509752,0.3798266067840678,NA,NA,NA,1.3541134389569882,NA,NA,0.6252157557558122,NA,NA,3.3547315321446702,NA,NA,0.09805038245016247,NA,0.8996082038986095,NA,0.3158754884087955,0.3810265245634245,NA,NA,NA,1.1272338025672877,NA,NA
Multiple Sclerosis,4.333616066325979,3.4890188816697076,NA,2.685515017795397,NA,0.3930563012706511,NA,NA,NA,NA,2.367106762723448,NA,NA,NA,0.07494362663713289,NA,0.6056337730361384,NA,1.8590411527571946,NA,NA,1.6856345683301572,0.48586032140286306,2.2784301434321605,NA,0.6464468115445202,NA,NA,0.05124341452322723,NA,NA,NA,NA,NA,NA,NA,NA,0.6790332693973591,NA,NA,NA,0.16799893061572976,0.5294654800261148,0.7229569936093171,1.1305936552049236,NA,0.8179635225672612,NA,1.5728466034810513,0.053542320633283354,2.3883198791128217,1.1513801268973392,NA,0.465532664184878,1.9105453626958377,0.36920200186847013,1.431190510001158,NA,0.3766692443106273,NA,1.6013487153644368,2.5815262029653105,2.9070864671999024,0.36427445275572945,NA,NA
Acute Pancreatitis,19.62351194961247,NA,2.529304865865177,0.78602777979037175,0.2325857562283559,1.1243583787854217,1.7093092569359265,NA,NA,6.662176981382764,NA,5.161175005640196,1.8029990572226104,NA,1.7096361311361068,1.4956247029824068,0.8059826408524436,2.4139016283432726,0.41917162185173934,1.6527698826533361,NA,1.9919376304991439,NA,1.6589672255912427,NA,NA,NA,3.9544002391873905,2.064516328042497,2.08279364383648,NA,NA,0.726546106754978,NA,0.21979552700787883,0.7126405770400832,0.14842642688207294,3.041503926076902,NA,4.3738763655397594,0.27237458079467564,1.2928724902310926,NA,1.6175247856345223,4.324572375956366,0.9546762205892739,1.484668420592979,1.5223236842502914,0.674543380661974,1.5588511457903547,1.2078282339005315,0.8421286952003115,1.3443226166704028,1.6014603976122086,1.2923121218426465,1.3787849541123618,NA,2.593167164763946,NA,1.3235202449689674,NA,0.30607701716155267,0.10983452466007114,NA,1.013207232079811,0.17329031358421781
Ulcerative Colitis,NA,0.9147445056495171,NA,NA,NA,NA,1.2384086659848403,NA,0.024327801473673867,NA,0.3741951068680915,0.056988933779004575,1.2619193087924243,NA,NA,0.4286138606390029,3.6884694791375425,NA,NA,NA,1.8352759579707898,NA,NA,NA,NA,1.0148552761452623,NA,NA,1.5263477489633246,2.2859990410325013,NA,NA,NA,NA,1.7970532789751343,1.2820344285139953,NA,NA,NA,0.010958563102572375,NA,1.9947532876605698,NA,2.117738065838072,1.2627791905796406,NA,NA,NA,NA,0.7083012340101121,NA,1.358552286688041,NA,0.5641496054279934,NA,1.3039804491129843,0.2854444925944445,NA,NA,NA,NA,NA,NA,NA,16.876658630304693,NA
Migraine,2.4859120630572322,NA,NA,NA,NA,NA,1.6481445340387124,NA,NA,NA,NA,NA,NA,2.712375445961107,NA,NA,0.8000796928425589,NA,0.2337395753670606,NA,0.2734288034477096,NA,0.9950243942005654,0.25529066286605906,0.4990156803424463,2.8288556833131495,NA,NA,NA,0.5551494653748597,NA,0.43659532184896976,NA,NA,NA,0.3664173900391583,1.4659952784637111,NA,NA,8.914435522793733,NA,0.8185394635502042,NA,0.9264392058626882,NA,1.0619460384528108,NA,NA,NA,NA,NA,12.792127308731127,0.6225753678732397,0.36706382779459373,NA,NA,0.6931563184320927,NA,0.6310689213754371,NA,NA,NA,1.7810365610875334,0.889492890181855,NA,NA
Dementia,18.786937870787455,NA,NA,NA,NA,0.517145469399091,NA,NA,0.26709417975958744,NA,NA,0.9514500160988174,NA,NA,NA,NA,0.503183654873146,NA,0.07764122824641492,NA,1.4224141570715683,NA,NA,NA,NA,1.9500230939320955,NA,NA,NA,0.7164027507460441,NA,0.9844546330760976,NA,NA,NA,NA,1.348618834130943,NA,0.266043846155557,NA,1.1303304924696547,1.8142282991878362,0.0886601232332531,0.41931337077940717,NA,1.7787612503422108,NA,1.5284538165160895,NA,0.6458148709206516,NA,NA,1.5133940602092615,NA,NA,0.14274114875779267,NA,NA,NA,NA,NA,NA,0.013485884572747086,0.33335682727306865,0.5825708866616991,NA
Treatment Resistant Depression,1.011638210974703,NA,2.1156627114399402,NA,0.20882467717990952,NA,NA,NA,0.45442199574343517,0.7530521754681045,0.9380281776253498,3.1822893269763575,1.2128068773261125,NA,NA,NA,NA,1.5841953900050887,NA,1.0443076597371777,NA,0.8331854794120087,7.412647764832852,1.943535012477464,NA,1.0156902541148287,NA,NA,NA,2.4146541249076074,4.681861337722575,NA,NA,NA,NA,1.814577021609675,0.2419769975764489,NA,NA,0.5793713377200982,NA,NA,NA,NA,NA,NA,NA,0.2365540238678781,0.6189947408810406,NA,1.3191276730645076,NA,NA,1.7352448394029258,NA,NA,0.5460973327646863,0.581516610057613,NA,1.3121640875736529,NA,NA,0.4597017248538991,1.007940021401071,NA,NA
Parkinsons Disease Inpatient,20.076924394398493,0.1803703773510736,NA,0.71002781970451,0.31390202682222773,NA,NA,NA,1.0769665098763597,1.3441803977148403,NA,2.391568666635759,NA,NA,NA,0.4210173480933123,NA,NA,1.032943680840676,NA,NA,0.4383845634158262,NA,0.23870728921509637,1.2422632639095161,0.6551136320421173,NA,NA,0.015584107047058994,NA,NA,NA,NA,NA,0.09593164986702771,0.44208274525171826,0.6243240689166653,NA,0.8521715513130783,NA,NA,NA,NA,NA,0.04809729279001352,NA,NA,NA,NA,0.31659495250683983,NA,1.9560019205491095,0.14680211094047152,NA,NA,NA,NA,0.8952814402199106,NA,NA,NA,NA,1.1786544701687671,NA,NA,NA
